Ticker,Event_Date,Surprise_Pct,CAR_20d,Profitable_20d
SFM,2022-05-04 16:00:00,9.72,-0.03914432840633286,0
CROX,2022-05-05 07:00:00,31.93,-0.04564060603252018,0
FND,2022-05-05 16:00:00,2.92,-0.043902780378164086,0
TXRH,2022-05-05 16:00:00,18.68,0.01130079757675062,1
APPF,2022-05-09 16:00:00,-2917.99,-0.03105014968175457,0
DUOL,2022-05-12 16:00:00,121.89,0.14697773225410782,1
ONON,2022-05-17 06:00:00,227.23,-0.0302522638780639,0
DECK,2022-05-19 16:00:00,94.19,0.14573244472591929,1
RH,2022-06-03 06:00:00,45.14,-0.06452183688780766,0
OLLI,2022-06-08 07:00:00,-35.33,0.5159787681343773,1
FIVE,2022-06-08 16:00:00,1.68,0.013040243737607149,1
TSLA,2022-07-20 17:00:00,26.89,0.1363286273585712,1
MSFT,2022-07-26 16:00:00,-2.69,0.013097704118151032,1
CHDN,2022-07-27 16:00:00,-2.34,-0.06424140908133791,0
QCOM,2022-07-27 16:00:00,3.13,-0.09300125196117048,0
CAKE,2022-07-27 16:00:00,-32.67,0.10723678779834667,1
META,2022-07-27 16:00:00,-3.38,-0.1301347149538079,0
LII,2022-07-28 07:00:00,5.24,0.06068578014104531,1
WING,2022-07-28 08:00:00,24.14,0.10087798863195607,1
AAPL,2022-07-28 16:00:00,3.93,0.03869737280224517,1
DECK,2022-07-28 16:00:00,37.35,0.08604225359665185,1
TXRH,2022-07-28 16:00:00,5.41,0.0593020282524499,1
APPF,2022-07-28 16:00:00,139.47,0.02429876125439956,1
SFM,2022-08-03 16:00:00,10.95,0.08281221580636766,1
CROX,2022-08-04 07:00:00,21.5,0.12030378877705339,1
FND,2022-08-04 16:00:00,3.77,0.06479527940427943,1
DUOL,2022-08-04 16:00:00,241.8,0.024635042370520055,1
ONON,2022-08-16 06:00:00,280.23,-0.12938671644206468,0
FIVE,2022-08-31 16:00:00,-5.32,0.19352314605737275,1
OLLI,2022-09-01 07:00:00,-33.59,-0.07652106130929737,0
RH,2022-09-08 16:00:00,18.98,0.09289038593654497,1
TSLA,2022-10-19 17:00:00,5.23,-0.25397743886013846,0
MSFT,2022-10-25 16:00:00,1.92,-0.0331903166027645,0
WING,2022-10-26 07:00:00,24.13,0.16482502998467552,1
META,2022-10-26 16:00:00,-12.06,-0.21673247342431035,0
CHDN,2022-10-26 16:00:00,2.82,0.031161831232689674,1
LII,2022-10-27 07:00:00,-0.08,0.12369355564582385,1
APPF,2022-10-27 16:00:00,185.94,0.05882639950538826,1
AAPL,2022-10-27 16:00:00,1.44,-0.06459644437822365,0
DECK,2022-10-27 16:00:00,2.97,0.02802352420373433,1
TXRH,2022-10-27 16:00:00,4.56,-0.029559030239474815,0
CAKE,2022-11-01 16:00:00,-110.51,0.011796338946244989,1
QCOM,2022-11-02 16:00:00,-0.13,0.018689609531754692,1
CROX,2022-11-03 07:00:00,13.65,0.2773712227893771,1
FND,2022-11-03 16:00:00,8.17,0.007212036322729265,1
SFM,2022-11-08 16:00:00,21.19,0.16394023197715868,1
